Name,SMILES
CD 437,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
TICLOPIDINE,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
ADAPALENE,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
PANTOPRAZOLE,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
CITALOPRAM,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
MOXIFLOXACIN HYDROCHLORIDE MONOHYDRATE,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
GLIMEPIRIDE,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
LOVASTATIN,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
PREGABALIN,CC(C)C[C@H](CN)CC(O)=O
MILRINONE,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
CLADRIBINE,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
ZIPRASIDONE,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
IDOXURIDINE,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
DIETHYLSTILBESTROL,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
CLOTRIMAZOLE,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
SULFANILAMIDE,NC1=CC=C(C=C1)S(N)(=O)=O
D-CYCLOSERINE,N[C@@H]1CONC1=O
ANAGRELIDE,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
CARMUSTINE,ClCCNC(=O)N(CCCl)N=O
ISRADIPINE,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
OLMESARTAN,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O
THEOPHYLLINE,CN1C2=C(NC=N2)C(=O)N(C)C1=O
ARGATROBAN,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
CLEMASTINE FUMARATE,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
ACARBOSE,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
VENLAFAXINE,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
TRAVOPROST,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F
BLEOMYCIN,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O
ETOMIDATE,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
RALTITREXED,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
TRANEXAMIC ACID,NC[C@H]1CC[C@@H](CC1)C(O)=O
BEXAROTENE,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C
IBUTILIDE FUMARATE,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
ZOLMITRIPTAN,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12
ACETAMINOPHEN,CC(=O)NC1=CC=C(O)C=C1
GEFITINIB,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
FLOXURIDINE,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O
TOLCAPONE,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O
INDOMETHACIN,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
METFORMIN,CN(C)C(=N)NC(N)=N
IPRATROPIUM BROMIDE HYDRATE,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C
OLANZAPINE,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2
PIMECROLIMUS,[H][C@]1(CC[C@H](Cl)[C@@H](C1)OC)\C=C(/C)[C@@]1([H])OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC)C(=O)C[C@H](O)[C@H]1C)OC
OMEPRAZOLE,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C
CETIRIZINE,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
DILTIAZEM HYDROCHLORIDE,COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
ALFUZOSIN,COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1
MINOXIDIL,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1
MEGESTROL ACETATE,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C
AMINOGLUTETHIMIDE,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
MEFLOQUINE,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F
VINORELBINE,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC
CLOZAPINE,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12
LEVONORGESTREL,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
NOREPINEPHRINE,NC[C@H](O)C1=CC(O)=C(O)C=C1
MIRTAZAPINE,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1
DEXRAZOXANE,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
TACRINE,NC1=C2CCCCC2=NC2=CC=CC=C12
PHENYLEPHRINE,CNC[C@H](O)C1=CC(O)=CC=C1
DIGOXIN,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1
SULPIRIDE,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O
PROGESTERONE,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
SORAFENIB,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1
ZOLEDRONIC ACID,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O
ESZOPICLONE,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1
ROSIGLITAZONE,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1
PRAMIPEXOLE,CCCN[C@H]1CCC2=C(C1)SC(N)=N2
METHOCARBAMOL,COC1=C(OCC(O)COC(N)=O)C=CC=C1
L-HYOSCYAMINE,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1
TRIFLURIDINE,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F
PROCHLORPERAZINE,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
CYPROHEPTADINE,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
ALLOPURINOL,OC1=NC=NC2=C1C=NN2
GEMCITABINE,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
BETAMETHASONE DIPROPIONATE,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
TENIPOSIDE,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=C(C=C3OCOC3=C1)[C@H]2O[C@]1([H])O[C@]2([H])CO[C@H](O[C@@]2([H])[C@H](O)[C@H]1O)C1=CC=CS1
EPIRUBICIN HYDROCHLORIDE,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
CHLORAMPHENICOL,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O
L-THYROXINE,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
LORATADINE,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2
PRAZOSIN,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1
9-CIS ACITRETIN,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1
METHSCOPOLAMINE BROMIDE,[Br-].[H][C@@]12O[C@]1([H])[C@H]1C[C@H](C[C@@H]2[N+]1(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1
KETOROLAC,OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1
ENOXACIN,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1
TENOXICAM,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=CS2)S1(=O)=O
DULOXETINE,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1
RIMANTADINE,CC(N)C12CC3CC(CC(C3)C1)C2
LENALIDOMIDE,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O
RALOXIFENE,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2
CELECOXIB,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
GALLAMINE TRIETHIODIDE,[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC
PEFLOXACIN,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1
SOTALOL,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
MIGLITOL,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
ZIDOVUDINE,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
FLUTAMIDE,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
HALOPERIDOL,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
AMINOCAPROIC ACID,NCCCCCC(O)=O
DEXTROMETHORPHAN HYDROBROMIDE,[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2
METOLAZONE,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O
ERLOTINIB,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2
ROFECOXIB,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1
CEFDINIR,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O
CIPROFLOXACIN,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
TOREMIFENE CITRATE,CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1
VINCRISTINE,[H][C@@]12N3CC[C@@]11C4=C(C=C(OC)C(=C4)[C@]4(C[C@H]5C[N@](C[C@](O)(CC)C5)CCC5=C4NC4=CC=CC=C54)C(=O)OC)N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC
BENAZEPRIL,[H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
AMOXAPINE,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
5-FU,FC1=CNC(=O)NC1=O
ZAFIRLUKAST,COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=CC=CC=C1C
PROPYLTHIOURACIL,CCCC1=CC(=O)NC(=S)N1
PENTOSTATIN,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O
METHOXSALEN,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
PIROXICAM,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O
LAMOTRIGINE,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1
ZANAMIVIR,[H][C@]1(OC(=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
METHOTREXATE,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
CISATRACURIUM BESYLATE,COC1=CC2=C(C=C1OC)[C@@H](CC1=CC(OC)=C(OC)C=C1)[N@@+](C)(CCC(=O)OCCCCCOC(=O)CC[N@@+]1(C)CCC3=C(C=C(OC)C(OC)=C3)[C@H]1CC1=CC(OC)=C(OC)C=C1)CC2
VINBLASTINE,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]2(O)C(=O)OC)[C@@]13[H])[C@]1(C[C@@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=C2C=CC=C1)C(=O)OC
ATROPINE,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1
CLONIDINE,ClC1=CC=CC(Cl)=C1NC1=NCCN1
SULFAMETHIZOLE,CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1
VORICONAZOLE,C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
ENALAPRIL MALEATE,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O
DICLOFENAC SODIUM,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
FLUTICASONE PROPIONATE,[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DOXAZOSIN,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1
FLUOCINOLONE ACETONIDE,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
ETHOSUXIMIDE,CCC1(C)CC(=O)NC1=O
AMILORIDE,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
MONOBENZONE,OC1=CC=C(OCC2=CC=CC=C2)C=C1
LINEZOLID,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1
MEDROXYPROGESTERONE ACETATE,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
SULINDAC,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O
CHLOROQUINE,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12
ETHIONAMIDE,CCC1=NC=CC(=C1)C(N)=S
BISOPROLOL,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1
RIFABUTIN,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC3)CC(C)C)N=C21
IMATINIB,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1
TRIAMCINOLONE ACETONIDE,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
OXANDROLONE,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)OC[C@]12C
FLUPHENAZINE,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
TESTOSTERONE,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
NICOTINIC ACID,OC(=O)C1=CN=CC=C1
ALENDRONATE,NCCCC(O)(P(O)(O)=O)P(O)(O)=O
CLOFARABINE,[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12
PREDNISONE,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
CLOFIBRATE,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
ADENOSINE,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
SIMVASTATIN,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC
PEMETREXED,NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1
MEBENDAZOLE,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1
MITOTANE,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl
DYPHYLLINE,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O
ESTRONE,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
TRAZODONE,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1
VERAPAMIL,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1
NILUTAMIDE,CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
EPINEPHRINE,CNC[C@H](O)C1=CC(O)=C(O)C=C1
SUMATRIPTAN,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1
APREPITANT,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
GALANTAMINE HYDROBROMIDE,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3
TAMOXIFEN,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
WARFARIN,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2
MYCOPHENOLATE MOFETIL,COC1=C(C\C=C(/C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C
PHENTOLAMINE,CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1
DAUNORUBICIN,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O
FUROSEMIDE,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O
TIZANIDINE,ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1
EPLERENONE,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC
AMPRENAVIR,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
NALTREXONE,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
TAMSULOSIN HYDROCHLORIDE,CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O
IBANDRONATE SODIUM HYDRATE,CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O
FLURBIPROFEN,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
PAROXETINE,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1
