drug_a_name,drug_b_name,cell,drug1_db,drug2_db,synergy
DOXORUBICIN,GELDANAMYCIN,A2780,DB00997,DB02424,2.6175
DOXORUBICIN,LAPATINIB,A2780,DB00997,DB01259,8.875
DOXORUBICIN,SORAFENIB,A2780,DB00997,DB00398,-0.3575
DOXORUBICIN,SUNITINIB,A2780,DB00997,DB01268,-0.38
ERLOTINIB,BORTEZOMIB,A2780,DB00530,DB00188,2.68
ERLOTINIB,DASATINIB,A2780,DB00530,DB01254,11.615
ERLOTINIB,GELDANAMYCIN,A2780,DB00530,DB02424,5.6025
ERLOTINIB,SORAFENIB,A2780,DB00530,DB00398,8.295
ERLOTINIB,TOPOTECAN,A2780,DB00530,DB01030,13.0275
ETOPOSIDE,BORTEZOMIB,A2780,DB00773,DB00188,3.64
ETOPOSIDE,DASATINIB,A2780,DB00773,DB01254,9.715
ETOPOSIDE,ERLOTINIB,A2780,DB00773,DB00530,9.72
ETOPOSIDE,GELDANAMYCIN,A2780,DB00773,DB02424,3.5125
ETOPOSIDE,LAPATINIB,A2780,DB00773,DB01259,12.05
ETOPOSIDE,SORAFENIB,A2780,DB00773,DB00398,1.675
ETOPOSIDE,SUNITINIB,A2780,DB00773,DB01268,2.3025
GELDANAMYCIN,SORAFENIB,A2780,DB02424,DB00398,2.2275
GELDANAMYCIN,TOPOTECAN,A2780,DB02424,DB01030,3.3425
GEMCITABINE,BORTEZOMIB,A2780,DB00441,DB00188,2.8025
GEMCITABINE,DASATINIB,A2780,DB00441,DB01254,5.885
GEMCITABINE,ERLOTINIB,A2780,DB00441,DB00530,4.76
GEMCITABINE,GELDANAMYCIN,A2780,DB00441,DB02424,0.7825
GEMCITABINE,LAPATINIB,A2780,DB00441,DB01259,5.7025
GEMCITABINE,SORAFENIB,A2780,DB00441,DB00398,0.2475
GEMCITABINE,SUNITINIB,A2780,DB00441,DB01268,2.825
LAPATINIB,BORTEZOMIB,A2780,DB01259,DB00188,5.6925
LAPATINIB,DASATINIB,A2780,DB01259,DB01254,19.5325
LAPATINIB,ERLOTINIB,A2780,DB01259,DB00530,9.385
LAPATINIB,GELDANAMYCIN,A2780,DB01259,DB02424,6.77
LAPATINIB,SORAFENIB,A2780,DB01259,DB00398,7.7375
LAPATINIB,TOPOTECAN,A2780,DB01259,DB01030,10.205
METFORMIN,BORTEZOMIB,A2780,DB00331,DB00188,0.645
METFORMIN,DASATINIB,A2780,DB00331,DB01254,10.49
METFORMIN,ERLOTINIB,A2780,DB00331,DB00530,4.5225
METFORMIN,GELDANAMYCIN,A2780,DB00331,DB02424,1.3575
METFORMIN,LAPATINIB,A2780,DB00331,DB01259,4.83
METFORMIN,SORAFENIB,A2780,DB00331,DB00398,5.6425
METFORMIN,SUNITINIB,A2780,DB00331,DB01268,11.5225
METHOTREXATE,BORTEZOMIB,A2780,DB00563,DB00188,0.7725
METHOTREXATE,DASATINIB,A2780,DB00563,DB01254,2.15
METHOTREXATE,ERLOTINIB,A2780,DB00563,DB00530,2.595
METHOTREXATE,GELDANAMYCIN,A2780,DB00563,DB02424,-1.18
METHOTREXATE,LAPATINIB,A2780,DB00563,DB01259,2.33
METHOTREXATE,SORAFENIB,A2780,DB00563,DB00398,0.8175
METHOTREXATE,SUNITINIB,A2780,DB00563,DB01268,-0.14
PACLITAXEL,BORTEZOMIB,A2780,DB01229,DB00188,2.215
PACLITAXEL,DASATINIB,A2780,DB01229,DB01254,11.8525
PACLITAXEL,ERLOTINIB,A2780,DB01229,DB00530,4.1875
PACLITAXEL,GELDANAMYCIN,A2780,DB01229,DB02424,0.67
PACLITAXEL,LAPATINIB,A2780,DB01229,DB01259,5.665
PACLITAXEL,SORAFENIB,A2780,DB01229,DB00398,5.3925
PACLITAXEL,SUNITINIB,A2780,DB01229,DB01268,6.03
SUNITINIB,BORTEZOMIB,A2780,DB01268,DB00188,6.1425
SUNITINIB,DASATINIB,A2780,DB01268,DB01254,15.355
SUNITINIB,ERLOTINIB,A2780,DB01268,DB00530,12.2275
SUNITINIB,GELDANAMYCIN,A2780,DB01268,DB02424,6.17
SUNITINIB,LAPATINIB,A2780,DB01268,DB01259,17.3475
SUNITINIB,SORAFENIB,A2780,DB01268,DB00398,2.3625
SUNITINIB,TOPOTECAN,A2780,DB01268,DB01030,3.3675
TOPOTECAN,SORAFENIB,A2780,DB01030,DB00398,3.0325
VINBLASTINE,BORTEZOMIB,A2780,DB00570,DB00188,4.2425
VINBLASTINE,DASATINIB,A2780,DB00570,DB01254,9.4425
VINBLASTINE,ERLOTINIB,A2780,DB00570,DB00530,10.5925
VINBLASTINE,GELDANAMYCIN,A2780,DB00570,DB02424,3.0275
VINBLASTINE,LAPATINIB,A2780,DB00570,DB01259,8.0425
VINBLASTINE,SORAFENIB,A2780,DB00570,DB00398,5.5925
VINBLASTINE,SUNITINIB,A2780,DB00570,DB01268,6.3175
VINORELBINE,BORTEZOMIB,A2780,DB00361,DB00188,2.22
VINORELBINE,DASATINIB,A2780,DB00361,DB01254,6.845
VINORELBINE,ERLOTINIB,A2780,DB00361,DB00530,5.4375
VINORELBINE,GELDANAMYCIN,A2780,DB00361,DB02424,1.44
VINORELBINE,LAPATINIB,A2780,DB00361,DB01259,5.8925
VINORELBINE,SORAFENIB,A2780,DB00361,DB00398,1.69
VINORELBINE,SUNITINIB,A2780,DB00361,DB01268,5.1375
5-FU,BORTEZOMIB,A375,DB00544,DB00188,0.9975
5-FU,DASATINIB,A375,DB00544,DB01254,0.1925
5-FU,ERLOTINIB,A375,DB00544,DB00530,1.12
5-FU,GELDANAMYCIN,A375,DB00544,DB02424,6.2925
5-FU,LAPATINIB,A375,DB00544,DB01259,-0.8575
5-FU,SORAFENIB,A375,DB00544,DB00398,7.2025
5-FU,SUNITINIB,A375,DB00544,DB01268,7.425
BORTEZOMIB,DASATINIB,A375,DB00188,DB01254,-1.65
BORTEZOMIB,GELDANAMYCIN,A375,DB00188,DB02424,3.785
BORTEZOMIB,SORAFENIB,A375,DB00188,DB00398,8.0675
BORTEZOMIB,TOPOTECAN,A375,DB00188,DB01030,-4.8325
DASATINIB,GELDANAMYCIN,A375,DB01254,DB02424,9.8675
DASATINIB,SORAFENIB,A375,DB01254,DB00398,13.25
DASATINIB,TOPOTECAN,A375,DB01254,DB01030,6.125
DEXAMETHASONE,BORTEZOMIB,A375,DB01234,DB00188,3.32
DEXAMETHASONE,DASATINIB,A375,DB01234,DB01254,13.6625
DEXAMETHASONE,ERLOTINIB,A375,DB01234,DB00530,-1.9475
DEXAMETHASONE,GELDANAMYCIN,A375,DB01234,DB02424,5.59
DEXAMETHASONE,LAPATINIB,A375,DB01234,DB01259,0.11
DEXAMETHASONE,SORAFENIB,A375,DB01234,DB00398,13.375
DEXAMETHASONE,SUNITINIB,A375,DB01234,DB01268,16.555
DOXORUBICIN,BORTEZOMIB,A375,DB00997,DB00188,-0.1025
DOXORUBICIN,DASATINIB,A375,DB00997,DB01254,-4.7025
DOXORUBICIN,ERLOTINIB,A375,DB00997,DB00530,-5.645
DOXORUBICIN,GELDANAMYCIN,A375,DB00997,DB02424,-2.4225
DOXORUBICIN,LAPATINIB,A375,DB00997,DB01259,-3.9125
DOXORUBICIN,SORAFENIB,A375,DB00997,DB00398,-16.425
DOXORUBICIN,SUNITINIB,A375,DB00997,DB01268,-17.505
ERLOTINIB,BORTEZOMIB,A375,DB00530,DB00188,-0.2325
ERLOTINIB,DASATINIB,A375,DB00530,DB01254,-2.415
ERLOTINIB,GELDANAMYCIN,A375,DB00530,DB02424,10.1875
ERLOTINIB,SORAFENIB,A375,DB00530,DB00398,8.5525
ERLOTINIB,TOPOTECAN,A375,DB00530,DB01030,15.61
ETOPOSIDE,BORTEZOMIB,A375,DB00773,DB00188,0.0675
ETOPOSIDE,DASATINIB,A375,DB00773,DB01254,5.2025
ETOPOSIDE,ERLOTINIB,A375,DB00773,DB00530,6.8
ETOPOSIDE,GELDANAMYCIN,A375,DB00773,DB02424,0.365
ETOPOSIDE,LAPATINIB,A375,DB00773,DB01259,3.175
ETOPOSIDE,SORAFENIB,A375,DB00773,DB00398,1.3875
ETOPOSIDE,SUNITINIB,A375,DB00773,DB01268,-1.3525
GELDANAMYCIN,SORAFENIB,A375,DB02424,DB00398,6.835
GELDANAMYCIN,TOPOTECAN,A375,DB02424,DB01030,-0.8975
GEMCITABINE,BORTEZOMIB,A375,DB00441,DB00188,1.86
GEMCITABINE,DASATINIB,A375,DB00441,DB01254,2.8825
GEMCITABINE,ERLOTINIB,A375,DB00441,DB00530,0.41
GEMCITABINE,GELDANAMYCIN,A375,DB00441,DB02424,0.23
GEMCITABINE,LAPATINIB,A375,DB00441,DB01259,-1.6825
GEMCITABINE,SORAFENIB,A375,DB00441,DB00398,1.2675
GEMCITABINE,SUNITINIB,A375,DB00441,DB01268,1.7075
LAPATINIB,BORTEZOMIB,A375,DB01259,DB00188,3.1625
LAPATINIB,DASATINIB,A375,DB01259,DB01254,-3.375
LAPATINIB,ERLOTINIB,A375,DB01259,DB00530,-5.1725
LAPATINIB,GELDANAMYCIN,A375,DB01259,DB02424,9.0575
LAPATINIB,SORAFENIB,A375,DB01259,DB00398,7.975
LAPATINIB,TOPOTECAN,A375,DB01259,DB01030,6.255
METFORMIN,BORTEZOMIB,A375,DB00331,DB00188,-0.7575
METFORMIN,DASATINIB,A375,DB00331,DB01254,-2.735
METFORMIN,ERLOTINIB,A375,DB00331,DB00530,-3.3975
METFORMIN,GELDANAMYCIN,A375,DB00331,DB02424,0.9775
METFORMIN,LAPATINIB,A375,DB00331,DB01259,-2.0175
METFORMIN,SORAFENIB,A375,DB00331,DB00398,8.3
METFORMIN,SUNITINIB,A375,DB00331,DB01268,4.9275
METHOTREXATE,BORTEZOMIB,A375,DB00563,DB00188,3.4575
METHOTREXATE,DASATINIB,A375,DB00563,DB01254,0.2
METHOTREXATE,ERLOTINIB,A375,DB00563,DB00530,10.26
METHOTREXATE,GELDANAMYCIN,A375,DB00563,DB02424,5.0325
METHOTREXATE,LAPATINIB,A375,DB00563,DB01259,9.2575
METHOTREXATE,SORAFENIB,A375,DB00563,DB00398,6.9325
METHOTREXATE,SUNITINIB,A375,DB00563,DB01268,-2.295
PACLITAXEL,BORTEZOMIB,A375,DB01229,DB00188,-0.9375
PACLITAXEL,DASATINIB,A375,DB01229,DB01254,5.08
PACLITAXEL,ERLOTINIB,A375,DB01229,DB00530,9.9375
PACLITAXEL,GELDANAMYCIN,A375,DB01229,DB02424,-0.54
PACLITAXEL,LAPATINIB,A375,DB01229,DB01259,17.83
PACLITAXEL,SORAFENIB,A375,DB01229,DB00398,10.055
PACLITAXEL,SUNITINIB,A375,DB01229,DB01268,8.3475
SUNITINIB,BORTEZOMIB,A375,DB01268,DB00188,2.7225
SUNITINIB,DASATINIB,A375,DB01268,DB01254,14.285
SUNITINIB,ERLOTINIB,A375,DB01268,DB00530,7.29
SUNITINIB,GELDANAMYCIN,A375,DB01268,DB02424,9.9425
SUNITINIB,LAPATINIB,A375,DB01268,DB01259,9.1225
SUNITINIB,SORAFENIB,A375,DB01268,DB00398,9.525
SUNITINIB,TOPOTECAN,A375,DB01268,DB01030,2.1075
TOPOTECAN,SORAFENIB,A375,DB01030,DB00398,11.225
VINBLASTINE,BORTEZOMIB,A375,DB00570,DB00188,1.4525
VINBLASTINE,DASATINIB,A375,DB00570,DB01254,-0.4475
VINBLASTINE,ERLOTINIB,A375,DB00570,DB00530,9.4075
VINBLASTINE,GELDANAMYCIN,A375,DB00570,DB02424,4.5025
VINBLASTINE,LAPATINIB,A375,DB00570,DB01259,6.7325
VINBLASTINE,SORAFENIB,A375,DB00570,DB00398,11.075
VINBLASTINE,SUNITINIB,A375,DB00570,DB01268,0.17
VINORELBINE,BORTEZOMIB,A375,DB00361,DB00188,1.515
VINORELBINE,DASATINIB,A375,DB00361,DB01254,6.54
VINORELBINE,ERLOTINIB,A375,DB00361,DB00530,12.69
VINORELBINE,GELDANAMYCIN,A375,DB00361,DB02424,8.6425
VINORELBINE,LAPATINIB,A375,DB00361,DB01259,13.7925
VINORELBINE,SORAFENIB,A375,DB00361,DB00398,8.6825
VINORELBINE,SUNITINIB,A375,DB00361,DB01268,4.41
5-FU,BORTEZOMIB,CAOV3,DB00544,DB00188,1.1375
5-FU,DASATINIB,CAOV3,DB00544,DB01254,4.4575
5-FU,ERLOTINIB,CAOV3,DB00544,DB00530,-1.1275
5-FU,GELDANAMYCIN,CAOV3,DB00544,DB02424,1.09
5-FU,LAPATINIB,CAOV3,DB00544,DB01259,-1.61
5-FU,SORAFENIB,CAOV3,DB00544,DB00398,5.51
5-FU,SUNITINIB,CAOV3,DB00544,DB01268,10.085
BORTEZOMIB,DASATINIB,CAOV3,DB00188,DB01254,1.795
BORTEZOMIB,GELDANAMYCIN,CAOV3,DB00188,DB02424,3.9875
BORTEZOMIB,SORAFENIB,CAOV3,DB00188,DB00398,3.91
BORTEZOMIB,TOPOTECAN,CAOV3,DB00188,DB01030,5.7625
DASATINIB,GELDANAMYCIN,CAOV3,DB01254,DB02424,-4.565
DASATINIB,SORAFENIB,CAOV3,DB01254,DB00398,6.7125
DASATINIB,TOPOTECAN,CAOV3,DB01254,DB01030,2.89
DEXAMETHASONE,BORTEZOMIB,CAOV3,DB01234,DB00188,-5.1325
DEXAMETHASONE,DASATINIB,CAOV3,DB01234,DB01254,5.3275
DEXAMETHASONE,ERLOTINIB,CAOV3,DB01234,DB00530,-3.7175
DEXAMETHASONE,GELDANAMYCIN,CAOV3,DB01234,DB02424,-2.92
DEXAMETHASONE,LAPATINIB,CAOV3,DB01234,DB01259,5.6325
DEXAMETHASONE,SORAFENIB,CAOV3,DB01234,DB00398,11.0975
DEXAMETHASONE,SUNITINIB,CAOV3,DB01234,DB01268,-4.3175
DOXORUBICIN,BORTEZOMIB,CAOV3,DB00997,DB00188,0.2175
DOXORUBICIN,DASATINIB,CAOV3,DB00997,DB01254,0.9475
DOXORUBICIN,ERLOTINIB,CAOV3,DB00997,DB00530,0.125
DOXORUBICIN,GELDANAMYCIN,CAOV3,DB00997,DB02424,-1.35
DOXORUBICIN,LAPATINIB,CAOV3,DB00997,DB01259,6.675
DOXORUBICIN,SORAFENIB,CAOV3,DB00997,DB00398,-2.3
DOXORUBICIN,SUNITINIB,CAOV3,DB00997,DB01268,-1.97
ERLOTINIB,BORTEZOMIB,CAOV3,DB00530,DB00188,1.0425
ERLOTINIB,DASATINIB,CAOV3,DB00530,DB01254,-2.6875
ERLOTINIB,GELDANAMYCIN,CAOV3,DB00530,DB02424,4.61
ERLOTINIB,SORAFENIB,CAOV3,DB00530,DB00398,8.37
ERLOTINIB,TOPOTECAN,CAOV3,DB00530,DB01030,9.645
ETOPOSIDE,BORTEZOMIB,CAOV3,DB00773,DB00188,4.3175
ETOPOSIDE,DASATINIB,CAOV3,DB00773,DB01254,5.6375
ETOPOSIDE,ERLOTINIB,CAOV3,DB00773,DB00530,4.815
ETOPOSIDE,GELDANAMYCIN,CAOV3,DB00773,DB02424,6.0475
ETOPOSIDE,LAPATINIB,CAOV3,DB00773,DB01259,8.3425
ETOPOSIDE,SORAFENIB,CAOV3,DB00773,DB00398,7.22
ETOPOSIDE,SUNITINIB,CAOV3,DB00773,DB01268,5.26
GELDANAMYCIN,SORAFENIB,CAOV3,DB02424,DB00398,8.285
GELDANAMYCIN,TOPOTECAN,CAOV3,DB02424,DB01030,2.3775
GEMCITABINE,BORTEZOMIB,CAOV3,DB00441,DB00188,1.6575
GEMCITABINE,DASATINIB,CAOV3,DB00441,DB01254,-0.09
GEMCITABINE,ERLOTINIB,CAOV3,DB00441,DB00530,0.0225
GEMCITABINE,GELDANAMYCIN,CAOV3,DB00441,DB02424,-0.17
GEMCITABINE,LAPATINIB,CAOV3,DB00441,DB01259,2.6025
GEMCITABINE,SORAFENIB,CAOV3,DB00441,DB00398,-0.735
GEMCITABINE,SUNITINIB,CAOV3,DB00441,DB01268,1.7975
LAPATINIB,BORTEZOMIB,CAOV3,DB01259,DB00188,1.9975
LAPATINIB,DASATINIB,CAOV3,DB01259,DB01254,3.7375
LAPATINIB,ERLOTINIB,CAOV3,DB01259,DB00530,-3.0825
LAPATINIB,GELDANAMYCIN,CAOV3,DB01259,DB02424,8.405
LAPATINIB,SORAFENIB,CAOV3,DB01259,DB00398,9.415
LAPATINIB,TOPOTECAN,CAOV3,DB01259,DB01030,5.7925
METFORMIN,BORTEZOMIB,CAOV3,DB00331,DB00188,1.915
METFORMIN,DASATINIB,CAOV3,DB00331,DB01254,-0.485
METFORMIN,ERLOTINIB,CAOV3,DB00331,DB00530,-0.5225
METFORMIN,GELDANAMYCIN,CAOV3,DB00331,DB02424,2.565
METFORMIN,LAPATINIB,CAOV3,DB00331,DB01259,-3.8075
METFORMIN,SORAFENIB,CAOV3,DB00331,DB00398,7.535
METFORMIN,SUNITINIB,CAOV3,DB00331,DB01268,3.1675
METHOTREXATE,BORTEZOMIB,CAOV3,DB00563,DB00188,2.565
METHOTREXATE,DASATINIB,CAOV3,DB00563,DB01254,-7.365
METHOTREXATE,ERLOTINIB,CAOV3,DB00563,DB00530,-9.41
METHOTREXATE,GELDANAMYCIN,CAOV3,DB00563,DB02424,-0.8175
METHOTREXATE,LAPATINIB,CAOV3,DB00563,DB01259,-5.3675
METHOTREXATE,SORAFENIB,CAOV3,DB00563,DB00398,1.2725
METHOTREXATE,SUNITINIB,CAOV3,DB00563,DB01268,-4.515
PACLITAXEL,BORTEZOMIB,CAOV3,DB01229,DB00188,2.9075
PACLITAXEL,DASATINIB,CAOV3,DB01229,DB01254,0.23
PACLITAXEL,ERLOTINIB,CAOV3,DB01229,DB00530,1.3275
PACLITAXEL,GELDANAMYCIN,CAOV3,DB01229,DB02424,0.16
PACLITAXEL,LAPATINIB,CAOV3,DB01229,DB01259,7.1325
PACLITAXEL,SORAFENIB,CAOV3,DB01229,DB00398,2.2925
PACLITAXEL,SUNITINIB,CAOV3,DB01229,DB01268,0.47
SUNITINIB,BORTEZOMIB,CAOV3,DB01268,DB00188,4.66
SUNITINIB,DASATINIB,CAOV3,DB01268,DB01254,-2.7175
SUNITINIB,ERLOTINIB,CAOV3,DB01268,DB00530,-1.61
SUNITINIB,GELDANAMYCIN,CAOV3,DB01268,DB02424,9.065
SUNITINIB,LAPATINIB,CAOV3,DB01268,DB01259,9.74
SUNITINIB,SORAFENIB,CAOV3,DB01268,DB00398,4.355
SUNITINIB,TOPOTECAN,CAOV3,DB01268,DB01030,4.755
TOPOTECAN,SORAFENIB,CAOV3,DB01030,DB00398,7.755
VINBLASTINE,BORTEZOMIB,CAOV3,DB00570,DB00188,4.1575
VINBLASTINE,DASATINIB,CAOV3,DB00570,DB01254,-2.505
VINBLASTINE,ERLOTINIB,CAOV3,DB00570,DB00530,6.4625
VINBLASTINE,GELDANAMYCIN,CAOV3,DB00570,DB02424,2.83
VINBLASTINE,LAPATINIB,CAOV3,DB00570,DB01259,3.145
